Gathered number of frames_epoch,Gathered number of frames_step,epoch,lr,step,train_feature_penalty_epoch,train_feature_penalty_step,train_loss_epoch,train_loss_step,train_masked_accuracy_epoch,train_masked_accuracy_step,train_unmasked_accuracy_epoch,train_unmasked_accuracy_step
,1360.0,0,1.6000000186977559e-06,49,,0.2520824670791626,,3.9640870094299316,,0.09720195829868317,,0.060593362897634506
,1368.0,0,3.2000000373955118e-06,99,,0.2710953652858734,,3.3339929580688477,,0.1353035569190979,,0.11777498573064804
,1384.0,0,4.800000169780105e-06,149,,0.3098208010196686,,3.9194321632385254,,0.14997705817222595,,0.13782422244548798
,1392.0,0,6.4000000747910235e-06,199,,0.2363717406988144,,3.749678611755371,,0.15788741409778595,,0.1486550122499466
,1360.0,0,7.999999979801942e-06,249,,0.44091442227363586,,3.517350435256958,,0.1597527712583542,,0.15208852291107178
,1372.0,0,9.60000033956021e-06,299,,0.5876799821853638,,3.969050407409668,,0.16469095647335052,,0.1569700688123703
,1408.0,0,1.1199999789823778e-05,349,,0.6582025289535522,,3.4775495529174805,,0.17049773037433624,,0.1619897484779358
,1336.0,0,1.2800000149582047e-05,399,,0.5308505296707153,,3.829939126968384,,0.17369592189788818,,0.16468285024166107
,1360.0,0,1.4399999599845614e-05,449,,0.6840120553970337,,3.905512571334839,,0.17810209095478058,,0.16888076066970825
,1380.0,0,1.5999999959603883e-05,499,,0.5922154784202576,,3.589247226715088,,0.18332615494728088,,0.1722937822341919
,1380.0,0,1.759999940986745e-05,549,,0.6687594652175903,,3.4144227504730225,,0.19064880907535553,,0.1742028146982193
,1372.0,0,1.920000067912042e-05,599,,0.7758505940437317,,3.367305040359497,,0.19387809932231903,,0.17490041255950928
,1360.0,0,2.080000012938399e-05,649,,0.8463791012763977,,3.5686047077178955,,0.19859272241592407,,0.1747039556503296
,1400.0,0,2.2399999579647556e-05,699,,0.7614783048629761,,2.9980928897857666,,0.20213299989700317,,0.1734243482351303
,1380.0,0,2.4000000848900527e-05,749,,0.7433479428291321,,2.8881778717041016,,0.2050854116678238,,0.17062363028526306
,1356.0,0,2.5600000299164094e-05,799,,1.0368635654449463,,3.993396043777466,,0.21012596786022186,,0.1703452616930008
,1352.0,0,2.719999974942766e-05,849,,0.17506219446659088,,2.1061134338378906,,0.21435703337192535,,0.16839276254177094
,1332.0,0,2.879999919969123e-05,899,,0.922409176826477,,3.0637242794036865,,0.2183462679386139,,0.1685653179883957
,1384.0,0,3.04000004689442e-05,949,,0.9731650948524475,,2.673797130584717,,0.2230697125196457,,0.16986528038978577
,1352.0,0,3.199999991920777e-05,999,,0.9762848615646362,,3.0626025199890137,,0.22752395272254944,,0.16996558010578156
,1372.0,0,3.360000118846074e-05,1049,,1.0822734832763672,,2.864295244216919,,0.23213711380958557,,0.16900788247585297
,1388.0,0,3.51999988197349e-05,1099,,1.085269808769226,,3.0055131912231445,,0.23648539185523987,,0.1691952347755432
,1376.0,0,3.680000008898787e-05,1149,,1.402917742729187,,3.013942241668701,,0.23904749751091003,,0.16682042181491852
,1372.0,0,3.840000135824084e-05,1199,,1.2165268659591675,,2.9550607204437256,,0.24198542535305023,,0.16629712283611298
,1360.0,0,3.9999998989515007e-05,1249,,1.2159419059753418,,2.848188638687134,,0.24637293815612793,,0.16558997333049774
