Gathered number of frames_epoch,Gathered number of frames_step,epoch,lr,step,train_feature_penalty_epoch,train_feature_penalty_step,train_loss_epoch,train_loss_step,train_masked_accuracy_epoch,train_masked_accuracy_step,train_unmasked_accuracy_epoch,train_unmasked_accuracy_step
,1360.0,0,1.6000000186977559e-06,49,,0.4774278700351715,,6.189413070678711,,0.01698080264031887,,0.005249443929642439
,1368.0,0,3.2000000373955118e-06,99,,0.5178020000457764,,6.11592960357666,,0.027050497010350227,,0.018967093899846077
,1384.0,0,4.800000169780105e-06,149,,0.45181259512901306,,6.141058444976807,,0.029866553843021393,,0.024270500987768173
,1392.0,0,6.4000000747910235e-06,199,,0.4056476354598999,,6.184820175170898,,0.03155917301774025,,0.027238881215453148
,1360.0,0,7.999999979801942e-06,249,,0.5145420432090759,,6.101775169372559,,0.032543424516916275,,0.02934766560792923
,1372.0,0,9.60000033956021e-06,299,,0.5740102529525757,,6.138619422912598,,0.033420365303754807,,0.030765580013394356
,1408.0,0,1.1199999789823778e-05,349,,0.6030750870704651,,6.087118148803711,,0.03381691873073578,,0.031057482585310936
,1336.0,0,1.2800000149582047e-05,399,,0.5339163541793823,,6.07950496673584,,0.034577786922454834,,0.031515154987573624
,1360.0,0,1.4399999599845614e-05,449,,0.5320171117782593,,6.135380268096924,,0.034703221172094345,,0.031175397336483
,1380.0,0,1.5999999959603883e-05,499,,0.461676687002182,,6.085695266723633,,0.03514256328344345,,0.031167054548859596
,1380.0,0,1.759999940986745e-05,549,,0.6550436615943909,,6.1507062911987305,,0.03516875579953194,,0.030951308086514473
,1372.0,0,1.920000067912042e-05,599,,0.7156627774238586,,6.02216911315918,,0.0354449637234211,,0.030402904376387596
,1360.0,0,2.080000012938399e-05,649,,0.8357135057449341,,6.0473103523254395,,0.035728201270103455,,0.029820166528224945
,1400.0,0,2.2399999579647556e-05,699,,0.7972044944763184,,5.948766708374023,,0.0357043519616127,,0.02885296382009983
,1380.0,0,2.4000000848900527e-05,749,,0.9887759685516357,,5.960164546966553,,0.03614219278097153,,0.028291992843151093
,1356.0,0,2.5600000299164094e-05,799,,1.0725972652435303,,6.007153034210205,,0.036307986825704575,,0.027847662568092346
,1352.0,0,2.719999974942766e-05,849,,0.8660804033279419,,6.039095878601074,,0.03658076748251915,,0.027343014255166054
,1332.0,0,2.879999919969123e-05,899,,1.4152473211288452,,5.892991542816162,,0.03674620762467384,,0.02671879529953003
,1384.0,0,3.04000004689442e-05,949,,1.6404346227645874,,5.883447647094727,,0.03714144602417946,,0.02651963382959366
,1352.0,0,3.199999991920777e-05,999,,1.8015247583389282,,5.8584980964660645,,0.03772000968456268,,0.02666105143725872
,1372.0,0,3.360000118846074e-05,1049,,1.8456419706344604,,5.8516011238098145,,0.03842126950621605,,0.02707795426249504
,1388.0,0,3.51999988197349e-05,1099,,1.4894479513168335,,5.831592082977295,,0.038943108171224594,,0.027246864512562752
,1376.0,0,3.680000008898787e-05,1149,,2.16382098197937,,5.63507080078125,,0.039524488151073456,,0.02737407013773918
,1372.0,0,3.840000135824084e-05,1199,,1.782173991203308,,5.764970302581787,,0.040179938077926636,,0.02760566584765911
,1360.0,0,3.9999998989515007e-05,1249,,2.2253620624542236,,5.404139041900635,,0.04103102535009384,,0.028232455253601074
,1372.0,0,4.160000025876798e-05,1299,,2.0385546684265137,,5.715679168701172,,0.041640061885118484,,0.028257012367248535
,1356.0,0,4.320000152802095e-05,1349,,2.497784376144409,,5.673222541809082,,0.04220055043697357,,0.028350651264190674
,1352.0,0,4.479999915929511e-05,1399,,2.19850754737854,,5.656548976898193,,0.042718205600976944,,0.02858647145330906
,1344.0,0,4.640000042854808e-05,1449,,2.4169485569000244,,5.634702205657959,,0.04335048049688339,,0.02887049689888954
,1344.0,0,4.8000001697801054e-05,1499,,2.571542501449585,,5.615499019622803,,0.043836820870637894,,0.02897939831018448
,1384.0,0,4.959999932907522e-05,1549,,2.4590415954589844,,5.567164897918701,,0.044407930225133896,,0.029182683676481247
,1376.0,0,5.120000059832819e-05,1599,,1.7715998888015747,,5.392514228820801,,0.04494543373584747,,0.029358822852373123
,1360.0,0,5.279999822960235e-05,1649,,1.6275204420089722,,5.46860408782959,,0.04552913457155228,,0.029589764773845673
,1372.0,0,5.439999949885532e-05,1699,,1.910871982574463,,5.652352809906006,,0.046229276806116104,,0.029953433200716972
,1380.0,0,5.6000000768108293e-05,1749,,2.0166985988616943,,5.612029552459717,,0.04676209017634392,,0.03009064309298992
,1316.0,0,5.759999839938246e-05,1799,,1.775888442993164,,5.5025482177734375,,0.047592103481292725,,0.03055201843380928
,1344.0,0,5.919999966863543e-05,1849,,2.3076817989349365,,5.463184356689453,,0.0482771061360836,,0.030815549194812775
,1328.0,0,6.08000009378884e-05,1899,,2.5954160690307617,,5.493811130523682,,0.04893846437335014,,0.03133023902773857
,1376.0,0,6.240000220714137e-05,1949,,2.2944579124450684,,5.440148830413818,,0.04952220618724823,,0.031553395092487335
,1332.0,0,6.399999983841553e-05,1999,,2.1720430850982666,,5.547855854034424,,0.05006307736039162,,0.0317467525601387
,1420.0,0,6.55999974696897e-05,2049,,2.3510007858276367,,5.40158224105835,,0.05060720443725586,,0.03197578713297844
,1356.0,0,6.720000237692147e-05,2099,,1.8036292791366577,,5.448472023010254,,0.05126612260937691,,0.0324399434030056
,1376.0,0,6.880000000819564e-05,2149,,2.232180118560791,,5.387974262237549,,0.05171055346727371,,0.03270217031240463
,1388.0,0,7.03999976394698e-05,2199,,1.6921443939208984,,5.369007587432861,,0.05216829478740692,,0.03302314504981041
,1392.0,0,7.200000254670158e-05,2249,,1.903625249862671,,5.278356075286865,,0.05293949320912361,,0.033464085310697556
,1364.0,0,7.360000017797574e-05,2299,,1.6301852464675903,,5.43322229385376,,0.05340440571308136,,0.03380116447806358
,1392.0,0,7.519999780924991e-05,2349,,1.6905549764633179,,5.244975566864014,,0.053963303565979004,,0.034166984260082245
,1376.0,0,7.680000271648169e-05,2399,,1.5774742364883423,,5.440622806549072,,0.05454227700829506,,0.034474197775125504
,1348.0,0,7.840000034775585e-05,2449,,2.3572404384613037,,5.319051742553711,,0.055268485099077225,,0.03495724871754646
,1368.0,0,7.999999797903001e-05,2499,,1.8808391094207764,,5.32671594619751,,0.05585486441850662,,0.035278815776109695
,1392.0,0,8.160000288626179e-05,2549,,1.5015239715576172,,5.369329929351807,,0.0563802532851696,,0.03552371263504028
,1400.0,0,8.320000051753595e-05,2599,,1.509987711906433,,5.4526801109313965,,0.05705133453011513,,0.03601454198360443
,1336.0,0,8.479999814881012e-05,2649,,1.5715855360031128,,4.720116138458252,,0.0575471967458725,,0.03634796291589737
,1340.0,0,8.64000030560419e-05,2699,,1.4703749418258667,,5.202828884124756,,0.05807417631149292,,0.03668174892663956
,1340.0,0,8.800000068731606e-05,2749,,1.8497819900512695,,5.042387008666992,,0.05867282673716545,,0.03699563443660736
,1380.0,0,8.959999831859022e-05,2799,,1.831133246421814,,5.246262073516846,,0.05926493555307388,,0.03728589788079262
,1368.0,0,9.1200003225822e-05,2849,,1.4865138530731201,,5.434589385986328,,0.05986452102661133,,0.03774752467870712
,1376.0,0,9.280000085709617e-05,2899,,1.1237841844558716,,5.163491725921631,,0.060458291321992874,,0.038112033158540726
,1348.0,0,9.439999848837033e-05,2949,,2.7023229598999023,,5.187187671661377,,0.061096809804439545,,0.038470279425382614
,1376.0,0,9.600000339560211e-05,2999,,1.495487093925476,,5.206663131713867,,0.06159459799528122,,0.038844916969537735
,1376.0,0,9.760000102687627e-05,3049,,1.7061775922775269,,4.993968963623047,,0.062127962708473206,,0.03912501782178879
,1412.0,0,9.919999865815043e-05,3099,,2.190903663635254,,5.103923797607422,,0.06273014843463898,,0.03942228481173515
,1368.0,0,9.997241431847215e-05,3149,,2.8062338829040527,,5.178712368011475,,0.06320801377296448,,0.039710260927677155
,1388.0,0,9.99172407318838e-05,3199,,2.230844497680664,,5.178333759307861,,0.0637027844786644,,0.03997670114040375
,1380.0,0,9.986206714529544e-05,3249,,2.370476484298706,,5.129252910614014,,0.06423744559288025,,0.04015286639332771
,1376.0,0,9.980689355870709e-05,3299,,2.2693700790405273,,4.970265865325928,,0.06473030894994736,,0.04040732979774475
,1376.0,0,9.975172724807635e-05,3349,,1.9822940826416016,,4.889975070953369,,0.06531029939651489,,0.04070841148495674
,1340.0,0,9.9696553661488e-05,3399,,2.6605236530303955,,5.00524377822876,,0.06585565954446793,,0.04099592566490173
,1376.0,0,9.964138007489964e-05,3449,,1.7814527750015259,,5.354827404022217,,0.06645552068948746,,0.04126059263944626
,1372.0,0,9.958620648831129e-05,3499,,1.47532320022583,,4.79795503616333,,0.06708218902349472,,0.04156782850623131
,1368.0,0,9.953103290172294e-05,3549,,2.179121255874634,,4.955848217010498,,0.06771957129240036,,0.041886866092681885
,1372.0,0,9.947585931513458e-05,3599,,1.7745667695999146,,4.984436511993408,,0.06824135035276413,,0.04216049611568451
,1356.0,0,9.942069300450385e-05,3649,,1.3613044023513794,,4.796353816986084,,0.06878329813480377,,0.042468488216400146
,1388.0,0,9.93655194179155e-05,3699,,2.370826244354248,,4.801260948181152,,0.06949052959680557,,0.0428825244307518
,1364.0,0,9.931034583132714e-05,3749,,2.513455629348755,,5.068981170654297,,0.0701100081205368,,0.043233949691057205
,1344.0,0,9.925517224473879e-05,3799,,1.6931519508361816,,4.9372076988220215,,0.070583276450634,,0.043518953025341034
,1352.0,0,9.919999865815043e-05,3849,,2.170771360397339,,4.783249378204346,,0.07120583206415176,,0.04387796297669411
,1364.0,0,9.914482507156208e-05,3899,,3.0927698612213135,,4.790329933166504,,0.07181176543235779,,0.044246360659599304
,1384.0,0,9.908965876093134e-05,3949,,2.5233912467956543,,4.845340251922607,,0.07238005846738815,,0.0445731095969677
,1356.0,0,9.903448517434299e-05,3999,,2.3893110752105713,,4.797946453094482,,0.0729900449514389,,0.04488307610154152
,1368.0,0,9.897931158775464e-05,4049,,3.0143797397613525,,4.868104934692383,,0.07356376945972443,,0.04517412558197975
,1332.0,0,9.892413800116628e-05,4099,,2.7389185428619385,,4.735393524169922,,0.07411915063858032,,0.045440755784511566
,1364.0,0,9.886896441457793e-05,4149,,3.1572558879852295,,4.771009922027588,,0.0746845081448555,,0.0457451194524765
,1348.0,0,9.881379082798958e-05,4199,,3.1192874908447266,,4.796947002410889,,0.07539430260658264,,0.046087268739938736
,1344.0,0,9.875861724140123e-05,4249,,1.8563557863235474,,4.848873138427734,,0.076068215072155,,0.046426329761743546
,1376.0,0,9.870345093077049e-05,4299,,2.4795022010803223,,4.78145694732666,,0.07662487775087357,,0.046762656420469284
,1368.0,0,9.864827734418213e-05,4349,,2.6565418243408203,,4.557657718658447,,0.07725790143013,,0.04700839892029762
,1312.0,0,9.859310375759378e-05,4399,,3.0276272296905518,,4.64375638961792,,0.07793465256690979,,0.04734263941645622
,1396.0,0,9.853793017100543e-05,4449,,2.4762191772460938,,4.919541835784912,,0.07853579521179199,,0.04760109260678291
,1332.0,0,9.848275658441707e-05,4499,,2.3502371311187744,,4.656689643859863,,0.0791282132267952,,0.04789067432284355
,1324.0,0,9.842758299782872e-05,4549,,2.764265775680542,,4.46221399307251,,0.07980737090110779,,0.048240985721349716
,1364.0,0,9.837241668719798e-05,4599,,2.0713672637939453,,4.532257080078125,,0.08052217215299606,,0.04857439547777176
,1388.0,0,9.831724310060963e-05,4649,,2.36828351020813,,4.566147804260254,,0.08120284974575043,,0.04884197562932968
,1356.0,0,9.826206951402128e-05,4699,,2.231994390487671,,4.889042377471924,,0.08187873661518097,,0.049171775579452515
,1384.0,0,9.820689592743292e-05,4749,,2.775188446044922,,4.555915355682373,,0.08245965838432312,,0.049461591988801956
,1368.0,0,9.815172234084457e-05,4799,,3.7477779388427734,,4.586423873901367,,0.08317062258720398,,0.04980072006583214
,1388.0,0,9.809654875425622e-05,4849,,2.7054553031921387,,4.675012588500977,,0.0838129073381424,,0.05008505657315254
,1404.0,0,9.804138244362548e-05,4899,,2.4034981727600098,,4.620630741119385,,0.08447695523500443,,0.05040718987584114
,1420.0,0,9.798620885703713e-05,4949,,3.248591423034668,,4.464422702789307,,0.08510518819093704,,0.05075164511799812
,1340.0,0,9.793103527044877e-05,4999,,2.781812906265259,,4.6218085289001465,,0.0857064500451088,,0.05104808881878853
,1352.0,0,9.787586168386042e-05,5049,,2.9514684677124023,,4.497166633605957,,0.08637116104364395,,0.05134579911828041
,1396.0,0,9.782068809727207e-05,5099,,2.2223517894744873,,4.442529678344727,,0.08704657852649689,,0.051684025675058365
,1348.0,0,9.776551451068372e-05,5149,,4.045316219329834,,4.402489185333252,,0.08767768740653992,,0.051992494612932205
,1376.0,0,9.771034820005298e-05,5199,,3.560732841491699,,4.597530841827393,,0.08826553821563721,,0.05226299539208412
1365.5830078125,,0,,5203,1.9602757692337036,,5.305333614349365,,0.05699025094509125,,0.036744847893714905,
,1364.0,1,9.765517461346462e-05,5249,,3.2811410427093506,,4.512096881866455,,0.08885683119297028,,0.05256643518805504
,1376.0,1,9.760000102687627e-05,5299,,4.265124320983887,,4.371518135070801,,0.08953619003295898,,0.05291562154889107
,1368.0,1,9.754482744028792e-05,5349,,2.095151662826538,,4.514637470245361,,0.09024817496538162,,0.05321907252073288
