Gathered number of frames_epoch,Gathered number of frames_step,epoch,lr,step,train_feature_penalty_epoch,train_feature_penalty_step,train_loss_epoch,train_loss_step,train_masked_accuracy_epoch,train_masked_accuracy_step,train_unmasked_accuracy_epoch,train_unmasked_accuracy_step
,1360.0,0,7.999999979801942e-06,49,,0.12187395244836807,,3.8585093021392822,,0.14864036440849304,,0.12970468401908875
,1368.0,0,1.5999999959603883e-05,99,,0.0366571843624115,,3.5436744689941406,,0.16328808665275574,,0.15434186160564423
,1384.0,0,2.4000000848900527e-05,149,,0.012916147708892822,,3.942124605178833,,0.16683587431907654,,0.16042771935462952
,1392.0,0,3.199999991920777e-05,199,,0.005717480555176735,,3.887960195541382,,0.16960448026657104,,0.1647397130727768
,1360.0,0,3.9999998989515007e-05,249,,0.004729713778942823,,3.5709264278411865,,0.1672925353050232,,0.16179290413856506
,1372.0,0,4.8000001697801054e-05,299,,0.004057693295180798,,4.075738430023193,,0.16909299790859222,,0.16327723860740662
,1408.0,0,5.6000000768108293e-05,349,,0.003298927331343293,,3.4880576133728027,,0.17254216969013214,,0.1654176115989685
,1336.0,0,6.399999983841553e-05,399,,0.003257549600675702,,3.829059600830078,,0.17247538268566132,,0.1665935516357422
,1360.0,0,7.200000254670158e-05,449,,0.003101796144619584,,3.9766037464141846,,0.17264901101589203,,0.16673783957958221
,1380.0,0,7.999999797903001e-05,499,,0.003147292649373412,,3.6961145401000977,,0.17408974468708038,,0.16666018962860107
,1380.0,0,8.800000068731606e-05,549,,0.004410149063915014,,3.3886513710021973,,0.17750194668769836,,0.16968770325183868
,1372.0,0,9.600000339560211e-05,599,,0.002787120873108506,,3.3352034091949463,,0.17687959969043732,,0.16649428009986877
,1360.0,0,0.00010399999882793054,649,,0.004385386593639851,,3.5796003341674805,,0.17834147810935974,,0.1660737842321396
,1400.0,0,0.00011200000153621659,699,,0.005203313659876585,,3.110762119293213,,0.177409365773201,,0.16506542265415192
,1380.0,0,0.00011999999696854502,749,,0.005290755070745945,,2.925182819366455,,0.17865748703479767,,0.16575126349925995
,1356.0,0,0.00012799999967683107,799,,0.004895910155028105,,3.9315693378448486,,0.180594339966774,,0.16709928214550018
,1352.0,0,0.00013600000238511711,849,,0.006864550523459911,,2.326963186264038,,0.1812821626663208,,0.16582946479320526
,1332.0,0,0.00014400000509340316,899,,0.007055891677737236,,3.1315858364105225,,0.1828521490097046,,0.16307756304740906
,1384.0,0,0.00015199999324977398,949,,0.006712612695991993,,3.2563912868499756,,0.1842830926179886,,0.15866564214229584
,1352.0,0,0.00015999999595806003,999,,0.005467078648507595,,3.1660943031311035,,0.18629767000675201,,0.1557556837797165
,1372.0,0,0.00016799999866634607,1049,,0.0066716936416924,,2.7472317218780518,,0.18846218287944794,,0.15429216623306274
